,EG-R0-24,EG-R0-09-1,EG-R0-11,EG-R0-17,EG-R0-12,EG-R0-16,1OG-R1-06,1OG-R1-07,1OG-R1-02,1OG-R1-18,1OG-R1-19,1OG-R1-11,1OG-R1-05,1OG-R1-10,1OG-R1-03,2OG-R2-10,2OG-R2-12,2OG-R2-03,2OG-R2-09,2OG-R2-08,2OG-R2-06,2OG-R2-07,2OG-R2-04,2OG-R2-05,2OG-R2-11,2OG-R2-02,2OG-R2-01,2OG-R2-13,3OG-R3-06,3OG-R3-04,3OG-R3-05
count,846.0,726.0,812.0,807.0,779.0,630.0,784.0,751.0,725.0,730.0,681.0,702.0,773.0,708.0,709.0,717.0,746.0,729.0,749.0,694.0,671.0,767.0,775.0,645.0,716.0,664.0,688.0,722.0,740.0,707.0,698.0
mean,24.01590968418347,23.537038148927305,23.423866560893693,22.71816556663466,23.098048343584992,22.600063072688993,24.444336256202387,23.65520596408971,24.368165062213766,24.9826297028424,24.335682436233046,23.487321562916463,23.662871505125374,23.955084334659038,23.852355002011837,23.621784811405625,24.72579042010269,24.140507136843343,23.902696482170725,23.811988055534254,24.636005529525917,24.278773977983416,24.067715685444494,23.870914302500644,23.331116860139304,24.285541726882204,24.242383344228877,23.1840439239037,25.18851301605637,24.295190482024932,24.092693003679067
std,2.7822285639516187,1.1448844601978008,1.4333334597568141,1.5950751129608582,1.7163904614650858,1.721483842831487,1.7700432214074624,1.8116506760133133,1.3412406457214072,1.4262745710462998,1.7413958142501729,1.4502623902598428,1.3763914740866623,2.1435339694047184,1.6104561918407838,1.5116848937677065,2.4908980502268383,1.6426583402407555,1.4771376091635482,1.2050812820386412,1.7641334100764234,1.5554019373017605,1.8960175343001953,1.4616675034693345,1.4087726617026717,1.703794477929886,1.5744476328375165,1.361711906920867,1.9443027903446246,1.6147396208662281,1.4921198564035316
min,15.8999996185303,17.4599990844727,19.159999847412102,18.5599994659424,16.4599990844727,17.699998855590803,19.0,20.2199993133545,18.520000457763697,9.97999954223633,17.7199993133545,15.559999465942399,18.0399990081787,19.6199989318848,18.2999992370605,20.2399997711182,19.159999847412102,20.6800003051758,20.7199993133545,20.439998626709002,19.7399997711182,20.7799987792969,20.6199989318848,17.8999996185303,20.5399990081787,21.599998474121104,21.0499992370605,18.7999992370605,20.8999996185303,21.359998703002898,21.0
25%,22.2799987792969,22.9099998474121,22.4599990844727,21.349999427795396,22.1599998474121,21.3199996948242,23.22999954223635,22.2899990081787,23.5,24.239999771118196,23.4599990844727,22.684999942779548,22.760000228881804,22.4749994277954,22.760000228881804,22.4799995422363,23.059999465942397,22.9099998474121,22.699998855590803,22.9599990844727,23.239999771118196,23.109999656677246,22.5,22.939998626709,22.314999580383276,22.899999618530302,22.9749994277954,22.399999618530302,23.719999313354503,22.909999847412102,22.904999732971202
50%,23.4200000762939,23.7000007629395,23.2999992370605,22.7999992370605,23.059999465942397,22.3400001525879,24.22999954223635,23.1399993896484,24.1800003051758,25.3199996948242,24.0,23.4200000762939,23.6599998474121,23.2999992370605,23.760000228881804,23.3400001525879,24.2899990081787,23.8400001525879,24.0,23.8199996948242,24.4799995422363,24.219999313354503,23.5799999237061,23.739999771118196,23.059999465942397,23.869998931884798,23.9049997329712,23.059999465942397,24.909999847412102,24.100000381469698,23.7999992370605
75%,25.494999885559075,24.31749963760375,24.4200000762939,23.8199996948242,24.0799999237061,24.059999465942397,25.6599998474121,24.9599990844727,25.199998855590803,25.8799991607666,25.100000381469698,24.3799991607666,24.600000381469698,25.044999122619625,24.9200000762939,24.600000381469698,25.734999656677275,25.2299995422363,24.9599990844727,24.5799999237061,25.8799991607666,25.2799997329712,25.3400001525879,24.899999618530302,24.239999771118196,25.572499275207498,25.359999179840074,23.929998874664324,26.5,25.3799991607666,25.0399990081787
max,33.0400009155273,26.599998474121104,27.1800003051758,27.399999618530302,28.599998474121104,27.6399993896484,30.899999618530302,30.4799995422363,29.119998931884798,27.3400001525879,31.239999771118196,27.4799995422363,29.3400001525879,31.0,29.2799987792969,28.3199996948242,35.3400001525879,28.9300003051758,28.3199996948242,27.5799999237061,31.5399990081787,29.939998626709,29.8400001525879,27.9799995422363,28.3400001525879,28.75,29.0499992370605,27.8799991607666,32.1599998474121,28.739999771118196,28.9599990844727
