,EG-R0-16,EG-R0-11,EG-R0-12,1OG-R1-07,1OG-R1-02,1OG-R1-05,1OG-R1-06,1OG-R1-03,1OG-R1-19,1OG-R1-11,2OG-R2-12,2OG-R2-08,2OG-R2-13,2OG-R2-09,2OG-R2-07,2OG-R2-06,2OG-R2-04,2OG-R2-01,2OG-R2-03,2OG-R2-10,2OG-R2-02,3OG-R3-05,3OG-R3-04,3OG-R3-06
count,802.0,802.0,847.0,823.0,887.0,812.0,877.0,889.0,843.0,849.0,776.0,779.0,798.0,782.0,782.0,846.0,811.0,785.0,797.0,777.0,780.0,777.0,839.0,793.0
mean,523.0635910224439,635.0997506234414,525.8630460448642,648.1931956257595,528.1285231116121,621.3571428571429,573.0399087799316,531.9583802024747,540.7888493475682,568.0435806831566,788.7976804123712,763.9037227214377,653.7556390977444,873.4808184143222,807.4219948849105,805.9420803782506,756.3045622688039,972.984076433121,864.0878293601004,814.997425997426,914.1762820512821,734.886743886744,757.4171632896305,664.1967213114754
std,114.0945451786496,246.1161079687503,118.8754345030936,274.900146175424,156.8214443386984,263.89505917070903,184.45380806473122,153.76252406351267,133.08268291965143,190.40627302174553,374.2483102482159,331.66230033615915,221.98530858286531,492.5197581616508,382.9111228030727,280.5697123804576,354.27081392127684,421.2846433265153,297.05058185574245,397.823116412469,354.78041991612764,343.73703543211235,369.98418013146465,294.23297242141933
min,383.0,381.0,379.0,379.0,379.0,381.0,380.0,380.0,379.0,382.0,385.0,388.0,381.0,383.0,389.0,394.0,382.0,392.0,401.0,390.0,389.0,380.0,379.0,379.0
25%,437.0,449.0,438.0,446.0,442.0,441.0,449.0,448.0,447.0,443.0,491.0,491.0,455.0,490.25,491.25,583.0,461.0,678.0,655.5,489.0,679.0,466.0,458.0,450.0
50%,473.0,510.5,471.0,488.0,476.0,482.0,494.0,478.0,482.0,482.0,566.0,589.0,558.5,569.5,605.0,746.5,611.0,796.0,775.0,579.0,783.0,523.0,598.0,503.0
75%,613.0,818.75,613.0,882.0,529.5,765.75,622.0,527.0,620.5,647.0,1110.75,1059.0,904.75,1322.5,1175.0,981.75,1106.0,1388.5,1148.0,1233.0,1238.25,1002.0,1131.0,851.0
max,848.0,1512.0,958.0,1429.0,1295.0,1433.0,1308.0,1252.0,1072.0,1415.0,1818.0,1684.0,1120.0,2086.0,1837.0,1750.0,1848.0,1954.5,1750.0,1763.0,1925.5,1943.0,1749.0,2139.0
