,EG,1OG,2OG,3OG
count,4600.0,6563.0,9283.0,2145.0
mean,23.258806074805882,24.083083530724203,24.007265539887417,24.53748206025237
std,1.8916502452370014,1.7083853834694962,1.7094380486229155,1.7650628637882908
min,15.8999996185303,9.97999954223633,17.8999996185303,20.8999996185303
25%,22.1174993515015,22.899999618530302,22.739999771118196,23.1399993896484
50%,23.1399993896484,23.9200000762939,23.760000228881804,24.2799987792969
75%,24.3199996948242,25.239999771118196,25.059999465942397,25.719999313354503
max,33.0400009155273,31.239999771118196,35.3400001525879,32.1599998474121
