,EG,1OG,2OG,3OG
count,859.0,1244.0,1715.0,386.0
mean,22.83882379587371,23.60536935935066,23.90245438734227,24.425180889781892
std,1.2337067725936555,1.1768928871288242,1.2146317501212793,1.1866302903904844
min,16.2199993133545,17.9200000762939,18.7999992370605,20.939998626709002
25%,22.3400001525879,22.8799991607666,23.1800003051758,23.6599998474121
50%,23.0,23.559999465942397,23.7999992370605,24.3400001525879
75%,23.619998931884798,24.244999885559096,24.5399990081787,25.0
max,26.5399990081787,28.619998931884798,34.8199996948242,31.359998703002898
