,EG,1OG,2OG,3OG
count,431.0,1112.0,1703.0,435.0
mean,610.877030162413,611.1106115107914,940.2404580152672,823.7149425287356
std,214.27818521073505,227.92365997145455,371.45328634699206,357.8495508499172
min,380.0,379.0,382.0,379.0
25%,450.5,455.0,649.0,494.0
50%,513.0,509.0,825.0,716.0
75%,726.5,700.25,1271.0,1155.0
max,1294.0,1429.0,1859.0,2139.0
